,id,adult,softcore
86,1683506,False,False
87,412650,False,False
88,434853,False,False
89,134184,False,False
90,369552,False,False
91,1459276,False,False
92,1430077,False,False
93,1627511,False,False
94,1681450,False,False
95,552524,False,False
96,1594852,False,False
97,666736,False,False
98,1231785,False,False
99,1683507,False,False
0,858024,False,False
1,1368314,False,False
2,124687,False,False
3,1275779,False,False
4,1683508,False,False
5,1309083,False,False
6,1683509,False,False
7,1637334,False,False
8,44673,False,False
9,37017,False,False
10,1059722,False,False
11,1339713,False,False
12,4484,False,False
13,1477836,False,False
14,1608678,False,False
15,1151790,False,False
16,1291659,False,False
17,11684,False,False
18,1241674,False,False
19,1211185,False,False
20,1322747,False,False
21,575119,False,False
22,926774,False,False
23,36614,False,False
24,1488562,False,False
25,670319,False,False
26,1683510,False,False
27,1683511,False,False
28,355935,False,False
29,1683512,False,False
30,467546,False,False
31,694655,False,False
32,1620830,False,False
33,1683513,True,False
34,8952,False,False
35,86822,False,False
36,1562774,False,False
37,417198,False,False
38,260,False,False
39,1682517,False,False
40,586654,False,False
41,1164375,False,False
42,244063,False,False
43,1269190,False,False
44,1683514,False,False
45,1319440,False,False
46,1538758,False,False
47,356097,False,False
48,356110,False,False
49,1112524,,
50,1500515,False,False
51,187033,False,False
52,1218067,False,False
53,735081,False,False
54,401712,False,False
55,1229930,False,False
56,1683515,False,False
57,1481600,False,False
58,810731,False,False
59,1396749,False,False
60,28893,False,False
61,936544,False,False
62,1683516,False,False
63,838451,False,False
64,1683517,False,False
65,1309725,False,False
66,1683518,False,False
67,1683519,False,False
68,1683520,False,False
69,649971,False,False
70,1629373,False,False
71,1627459,False,False
72,1660982,False,False
73,575824,False,False
74,1638917,False,False
75,1683521,False,False
76,1683522,False,False
77,1285895,False,False
78,1554544,False,False
79,1427167,False,False
80,1599181,False,False
81,51943,False,False
82,1635420,False,False
83,1683523,False,False
84,1418531,False,False
85,1492999,False,False
86,1045133,False,False
87,67415,False,False
88,1596248,False,False
89,1464814,False,False
90,1421552,False,False
91,1683524,False,False
92,244566,False,False
93,1199294,False,False
94,1489039,False,False
95,13009,False,False
96,1635411,False,False
97,1683525,False,False
98,1654548,False,False
99,84404,False,False
0,1654552,False,False
1,1654553,False,False
2,1550046,False,False
3,36929,False,False
4,557242,True,False
5,1654554,False,False
6,1297860,False,False
7,785429,False,False
8,1106349,False,False
9,878604,False,False
10,1654555,False,False
11,1547561,False,False
12,1654556,False,False
13,1683526,False,False
14,1297842,False,False
15,1683527,False,False
16,1683528,False,False
17,1308476,False,False
18,1649815,False,False
19,1526647,False,False
20,1650423,False,False
21,336277,False,False
22,1620829,False,False
23,375392,False,False
24,1188387,False,False
25,1650419,False,False
26,44992,False,False
27,1650424,False,False
28,1087593,False,False
29,1476353,False,False
30,1667198,False,False
31,699709,False,False
32,106417,False,False
33,487004,False,False
34,1650430,False,False
35,1604082,False,False
36,1683529,False,False
37,4786,False,False
38,1650421,False,False
39,186383,False,False
40,92586,False,False
41,544268,False,False
42,1610521,False,False
43,701879,False,False
44,45307,False,False
45,1682823,False,False
46,1683530,False,False
47,1650429,False,False
48,1355132,False,False
49,1650427,False,False
50,49354,False,False
51,1683531,False,False
52,1683532,False,False
53,1683533,False,False
54,1657007,False,False
55,1650446,False,False
56,1650441,False,False
57,1650426,False,False
58,1212855,False,False
59,127936,False,False
60,1683534,False,False
61,229407,False,False
62,1453852,False,False
63,1510429,False,False
64,1683535,False,False
65,1557013,False,False
66,1453853,False,False
67,117853,False,False
68,1154538,False,False
69,1683536,False,False
70,1631773,,
71,1311660,False,False
72,1526222,False,False
73,948051,False,False
74,1683537,,
75,1599764,False,False
76,1400357,False,False
77,1616158,False,False
78,1537050,False,False
79,1555229,False,False
80,1580028,False,False
81,1427299,False,False
82,441122,False,False
83,199980,False,False
84,441125,False,False
85,1313144,False,False
86,154531,False,False
87,457104,False,False
88,174127,False,False
89,1660964,False,False
90,1632181,False,False
91,1683538,False,False
92,944766,False,False
93,768804,False,False
94,11560,False,False
95,546493,False,False
96,743283,False,False
97,1464883,False,False
98,1562982,False,False
99,1660965,False,False
0,1533897,False,False
1,1568038,False,False
2,1595929,False,False
3,858477,False,False
4,846580,False,False
5,1683539,False,False
6,1493050,False,False
7,1171145,False,False
8,1683540,False,False
9,557955,False,False
10,1616842,False,False
11,441294,False,False
12,1616647,False,False
13,1423298,False,False
14,1593224,False,False
15,1657774,False,False
16,525659,False,False
17,1241052,False,False
18,46814,False,False
19,1661033,False,False
20,1495175,False,False
21,105485,False,False
22,1660961,False,False
23,18818,False,False
24,29204,False,False
25,1290369,False,False
26,30198,False,False
27,1567524,False,False
28,931,False,False
29,403052,False,False
30,1595921,False,False
31,1317159,False,False
32,1524386,False,False
33,182227,False,False
34,128,False,False
35,335351,False,False
36,666800,False,False
37,126278,False,False
38,1614696,False,False
39,209732,False,False
40,49708,False,False
41,811736,False,False
42,1137350,False,False
43,1585333,False,False
44,1298373,False,False
45,1661018,False,False
46,350873,False,False
47,349647,False,False
48,349252,False,False
49,1681073,False,False
50,40949,False,False
51,1460304,False,False
52,1683278,False,False
53,116323,False,False
54,364505,False,False
55,1683150,False,False
56,701387,False,False
57,25063,False,False
58,349215,False,False
59,1005178,False,False
60,110160,False,False
61,1317705,False,False
62,1186621,False,False
63,1165655,False,False
64,534,False,False
